 DER JER
DH_0001 9.39 26.44
DH_0002 42.77 66.489
DH_0003 55.44 84.33
DH_0004 26.05 81.028
DH_0005 16.76 56.999
DH_0006 36.53 85.412
DH_0007 26.49 60.887
DH_0008 21.6 60.762
DH_0009 43.41 71.964
DH_0010 19.48 59.174
DH_0011 48.4 81.276
DH_0012 41.09 77.249
DH_0013 33.28 75.441
DH_0014 52.99 90.002
DH_0015 31.65 63.433
DH_0016 60.3 82.881
DH_0017 28.65 37.578
DH_0018 26.32 33.017
DH_0019 16.14 26.133
DH_0020 36.87 63.557
DH_0021 24.69 49.512
DH_0022 29.03 74.384
DH_0023 24.43 72.285
DH_0024 15.79 53.374
DH_0025 9.98 26.515
DH_0026 21.69 75.517
DH_0027 8.22 45.117
DH_0028 14.17 45.493
DH_0029 31.67 74.11
DH_0030 23.18 61.095
DH_0031 6.06 40.053
DH_0032 10.65 60.4
DH_0033 5.68 44.198
DH_0034 15.25 72.636
DH_0035 11.09 43.753
DH_0036 8.12 16.989
DH_0037 5.68 11.531
DH_0038 9.21 14.213
DH_0039 7.07 14.433
DH_0040 8.6 16.166
DH_0041 3.23 5.606
DH_0042 4.98 9.714
DH_0043 7.37 13.942
DH_0044 4.45 9.658
DH_0045 7.96 14.848
DH_0046 7.39 11.297
DH_0047 8.99 15.445
DH_0048 3.78 12.215
DH_0049 6.19 12.715
DH_0050 3.1 5.53
DH_0051 6.71 10.484
DH_0052 7.03 10.091
DH_0053 8.34 12.654
DH_0054 8.12 10.929
DH_0055 4.43 8.968
DH_0056 8.4 18.64
DH_0057 6.11 11.312
DH_0058 7.2 13.343
DH_0059 12.09 44.543
DH_0060 9.63 19.1
DH_0061 17.6 26.857
DH_0062 6.1 9.273
DH_0063 40.56 64.994
DH_0064 19.26 23.235
DH_0065 13.39 24.274
DH_0066 17.15 19.827
DH_0067 17.66 22.167
DH_0068 5.48 9.235
DH_0069 31.3 53.115
DH_0070 9.98 20.028
DH_0071 19.73 54.577
DH_0072 39.78 60.636
DH_0073 7.97 15.158
DH_0074 11.26 18.228
DH_0075 12.29 16.827
DH_0076 24.76 29.704
DH_0077 7.55 40.52
DH_0078 19.73 29.595
DH_0079 8.14 12.838
DH_0080 18.79 23.188
DH_0081 4.92 9.97
DH_0082 8.87 16.709
DH_0083 4.45 16.844
DH_0084 7.46 48.268
DH_0085 3.33 37.151
DH_0086 4.01 48.014
DH_0087 9.67 50.703
DH_0088 4.45 36.176
DH_0089 8.25 59.825
DH_0090 9.78 61.628
DH_0091 4.71 29.462
DH_0092 6.12 36.139
DH_0093 4.75 57.032
DH_0094 6.3 46.698
DH_0095 9.58 55.677
DH_0096 14.07 42.419
DH_0097 22.65 52.62
DH_0098 44.85 69.717
DH_0099 14.79 18.557
DH_0100 11.05 43.939
DH_0101 24.91 46.925
DH_0102 9.02 66.036
DH_0103 5.34 23.574
DH_0104 3.23 11.161
DH_0105 7.42 9.117
DH_0106 23.63 63.779
DH_0107 43.54 80.926
DH_0108 17.95 62.714
DH_0109 35.84 50.64
DH_0110 36.24 65.061
DH_0111 26.12 69.601
DH_0112 41.77 72.86
DH_0113 58.59 76.507
DH_0114 16.57 41.446
DH_0115 31.18 40.609
DH_0116 27.94 39.226
DH_0117 23.67 37.174
DH_0118 26.46 75.604
DH_0119 46.1 73.376
DH_0120 53.81 81.341
DH_0121 0 0
DH_0122 15.32 15.316
DH_0123 47.67 47.673
DH_0124 0 0
DH_0125 18.27 18.267
DH_0126 0.02 0.022
DH_0127 0 0
DH_0128 0 0
DH_0129 4.99 4.991
DH_0130 30.31 30.313
DH_0131 39.56 39.556
DH_0132 27.21 27.213
DH_0133 44.36 70.17
DH_0134 74.56 95.626
DH_0135 42.14 82.009
DH_0136 16.6 26.816
DH_0137 55 84.203
DH_0138 30.79 66.035
DH_0139 3.36 13.371
DH_0140 59.02 82.269
DH_0141 6.84 72.553
DH_0142 22.76 27.014
DH_0143 55.3 72.78
DH_0144 15.85 15.853
DH_0145 7.63 34.305
DH_0146 0 0
DH_0147 12.7 70.898
DH_0148 28.55 76.999
DH_0149 19.21 42.53
DH_0150 12.19 82.96
DH_0151 50.55 81.401
DH_0152 19.22 66.56
DH_0153 47.76 79.151
DH_0154 58.76 93.127
DH_0155 66.66 93.897
DH_0156 45.45 89.09
DH_0157 32.25 72.946
DH_0158 0 0
DH_0159 58.75 90.622
DH_0160 16.35 79.087
DH_0161 36.48 67.574
DH_0162 47.98 73.84
DH_0163 1.25 50.623
DH_0164 14.62 14.621
